Time,1,2,31,36,37,38,39,40,41,42,43,76,77,78,79,80,81,82,83,272,273,274,275,276,277,278,279,312,313,314,315,316,317,318,319,352,353,354,355,356,357,358,359,392,393,394,395,396,397,398,399,432,433,434,435,436,437,438,439,472,473,874,875,876,877,878,879,880,881,914,915,916,917,918,919,920,921,1146,1147,1148,1149,1150,1151,1152,1153,1186,1187,1188,1189,1190,1191,1192,1193,1226,1227,1228,1229,1230,1231,1232,1233,1266,1267,1268,1269,1270,1581,1582,1583,1584,1585,1586,1587,1588,1621,1622,1623,1624,1625,1626,1627,1628,1661,1662,1663,1664,1665,1666,1667,1668,1701,1702,1703,1704,1705,1706,1707,1708,1741,1742,1743,1744,1830,1831,1832,2141,2142,2143,2144,2145,2146,2147,2148,2178,2179,2180,2181,2182,2183,2184,2312,2315,2318,2321,2324,2327
0,34,39,29,19,29,29,29,29,34,24,19,24,29,29,29,34,24,14,43,29,73,68,73,78,78,73,39,29,73,73,78,78,78,83,39,73,73,78,78,78,83,78,63,78,78,83,83,83,78,87,78,63,83,83,83,83,87,83,78,43,63,58,58,63,58,53,58,53,58,53,58,39,53,48,58,53,63,58,58,58,63,63,53,58,58,29,58,53,63,58,58,58,48,29,58,63,58,63,63,63,63,58,63,58,63,43,34,58,63,68,63,68,63,39,29,63,68,63,63,63,63,43,63,63,68,63,68,73,68,73,68,63,68,68,68,68,68,73,73,73,78,78,73,73,78,34,24,39,24,34,29,29,73,78,78,24,34,29,34,78,78,78,78,78,83,78
10,34,43,29,19,29,29,29,34,29,29,24,29,29,29,29,39,29,14,43,29,73,78,73,78,78,73,34,29,73,73,78,73,83,78,39,78,73,78,83,78,83,78,68,83,78,83,83,83,83,83,83,63,83,78,83,78,87,87,78,43,63,58,58,58,53,58,58,58,63,53,53,34,53,53,58,53,58,58,63,63,63,58,58,58,58,34,58,63,58,58,58,58,53,29,58,63,63,63,58,63,63,63,63,63,58,48,34,63,63,63,63,68,63,34,34,58,63,63,63,63,68,48,63,63,73,63,73,68,68,73,68,63,73,68,68,73,73,68,78,73,83,73,73,73,78,34,29,34,29,34,34,29,73,73,78,29,34,29,29,78,83,78,83,78,83,83
20,39,43,29,14,29,29,29,34,34,24,19,24,34,29,29,39,29,19,43,29,73,73,73,78,78,78,39,29,78,78,78,78,83,78,39,73,78,78,78,78,78,83,68,83,83,83,83,83,83,87,83,63,78,83,87,78,87,87,78,43,63,58,58,63,63,58,63,58,58,53,53,39,53,58,58,58,63,58,58,63,58,63,53,63,58,34,53,58,63,58,58,58,53,34,63,63,63,63,63,68,63,58,58,63,63,48,34,58,63,68,63,68,63,34,39,58,68,63,63,68,68,43,63,63,73,68,73,68,73,73,68,68,73,68,68,73,68,73,73,78,78,78,73,73,78,34,29,39,29,34,34,29,73,78,73,29,34,29,39,78,83,83,83,78,78,83
30,39,43,29,19,29,29,29,34,34,29,19,29,29,29,29,39,29,19,43,29,73,73,78,78,78,73,34,29,83,73,83,78,83,78,39,78,78,78,83,83,87,83,68,83,83,78,78,83,83,87,78,63,83,83,87,78,87,87,87,43,63,58,63,63,58,58,63,58,58,53,58,39,53,53,63,58,58,58,63,68,63,63,58,63,58,34,58,63,63,58,58,58,53,34,63,68,58,63,63,68,63,58,63,68,63,53,34,58,68,68,63,68,63,39,39,63,63,63,63,68,68,48,58,63,73,68,73,73,73,73,68,68,68,73,68,73,73,73,73,78,78,78,78,73,78,34,29,34,34,34,34,29,78,78,78,29,34,34,29,78,83,83,78,83,83,83
40,39,43,29,19,29,29,29,34,34,29,19,29,39,29,29,39,29,19,43,29,73,73,73,78,78,78,39,29,78,73,78,78,83,78,39,78,78,78,83,83,83,78,68,83,83,83,87,83,83,87,78,68,83,87,87,83,87,87,87,43,63,58,63,63,58,53,63,58,58,53,63,39,53,58,63,53,58,58,63,68,58,68,58,63,58,34,58,58,63,58,58,58,53,29,63,68,63,63,63,63,63,63,58,63,63,53,39,63,63,68,63,68,63,39,39,63,68,63,68,68,68,43,63,68,68,68,73,73,73,73,73,63,73,73,73,78,73,73,73,78,78,78,78,73,78,34,29,39,34,39,34,34,73,83,78,34,34,29,34,83,83,83,83,83,83,83
50,39,43,29,19,34,34,29,34,34,29,19,29,34,29,29,39,29,19,43,29,78,73,78,78,83,73,39,29,78,78,83,78,83,83,39,78,83,83,83,83,87,83,68,87,83,78,83,87,83,87,83,68,83,83,87,78,87,87,87,43,63,58,63,63,58,58,63,58,58,53,58,39,58,58,63,63,63,63,63,68,68,63,58,63,63,39,58,63,63,63,63,63,53,34,63,63,68,63,63,63,63,58,63,68,63,53,34,58,68,73,63,73,68,39,39,63,68,63,63,68,68,48,68,63,73,68,68,73,68,68,68,68,73,73,73,73,73,73,73,78,78,78,78,73,83,34,29,34,29,34,39,29,73,78,83,29,34,34,29,78,83,83,83,78,83,83
60,39,43,34,19,29,29,29,34,34,29,19,29,34,29,29,39,34,19,43,29,73,78,78,78,78,78,39,29,78,78,83,78,83,83,39,78,83,78,83,78,83,83,73,83,83,83,83,87,83,83,83,68,83,83,87,87,92,87,87,43,63,58,63,63,58,58,63,58,58,58,63,34,53,58,58,58,58,63,63,63,63,68,63,68,63,29,58,63,63,58,63,63,58,34,63,68,68,63,63,68,63,63,63,68,63,53,34,63,63,68,63,73,68,39,39,63,68,63,63,68,68,43,68,68,73,68,73,68,73,73,73,68,73,73,73,78,73,78,73,73,83,78,73,73,78,39,29,39,34,39,34,34,73,78,78,34,34,29,39,87,83,83,78,83,83,87
70,39,43,34,19,34,34,34,34,34,29,19,29,39,34,29,39,29,19,43,29,78,78,78,83,83,78,39,29,78,78,83,78,83,78,43,78,78,78,83,83,83,78,68,87,78,83,83,87,87,87,78,68,83,87,87,83,92,87,87,43,63,58,63,63,63,58,58,58,58,58,58,39,58,58,63,58,63,58,58,63,63,68,58,63,58,39,58,58,63,58,58,63,53,34,63,68,68,68,63,68,63,58,63,68,68,53,34,58,63,73,68,73,68,39,34,63,68,63,63,68,68,43,63,63,78,68,73,73,73,73,68,68,73,73,73,73,73,73,73,78,83,78,73,73,83,39,29,39,34,39,34,29,73,78,78,34,34,34,34,78,83,83,83,83,83,83
80,43,-58,-29,19,-63,-39,29,-29,-58,-58,19,-53,29,-58,29,-39,34,14,43,-39,-14,4,78,19,-24,-14,-53,-53,-14,78,83,78,-19,-19,-53,-4,83,9,83,83,-14,-14,-34,4,83,87,83,9,83,87,83,68,87,4,87,87,-14,83,87,43,-34,63,63,-9,58,58,-34,-48,-43,-24,58,-58,53,-29,-43,-39,-39,63,-24,-4,63,0,-29,-29,-39,-43,-29,-19,63,-9,58,-39,-53,34,-29,-19,63,63,-34,63,-43,-29,-29,-9,63,53,39,-29,-9,68,63,68,68,39,34,-24,68,68,68,68,-24,-53,63,-19,73,68,73,-29,-19,-34,-9,-24,-9,73,0,-19,-24,-34,78,-14,4,78,0,73,4,34,-63,-34,34,-29,34,-68,-34,14,-19,-43,34,-48,-63,-19,87,83,4,83,0,83
90,-24,-175,-146,-53,-170,-166,-83,-141,-180,-170,-83,-156,-53,-175,34,-151,-63,-73,-53,-151,-112,-126,-29,-92,-126,-122,-161,-156,-122,0,-39,4,-141,-126,-156,-117,-4,-102,-43,0,-122,-122,-141,-97,0,9,-34,-97,-9,-14,-29,-24,-4,-102,87,14,-122,-4,-19,-39,-146,-24,-24,-126,-58,-19,-141,-166,-151,-126,-34,-185,53,-136,-151,-136,-146,-9,-136,-131,-43,-112,-141,-131,-136,-151,-141,-141,-48,-112,-34,-156,-156,-48,-131,-136,68,-14,-136,-39,-161,-131,-131,-126,63,-19,-39,-131,-136,-34,4,-19,-19,-53,-43,-126,-14,63,-9,-24,-131,-156,-9,-126,-4,68,-4,-136,-131,-151,-117,-146,-126,-39,-107,-131,-126,-156,-9,-122,-112,78,-107,-14,-112,-39,-170,-151,34,-126,-58,-175,-131,-92,-131,-166,34,-151,-175,-136,4,0,-107,0,-102,0
100,-253,-292,-268,-166,-288,-283,-214,-263,-292,-283,-200,-278,-166,-302,-83,-268,-175,-180,-161,-253,-214,-244,-156,-205,-229,-229,-258,-253,-229,-122,-180,-102,-244,-229,-263,-224,-112,-205,-195,-102,-214,-234,-239,-205,-107,-102,-166,-219,-122,-117,-131,-131,-112,-209,-29,-195,-224,-112,-117,-161,-253,-141,-126,-239,-190,-131,-249,-273,-253,-234,-141,-312,-53,-253,-249,-239,-253,-126,-229,-244,-170,-224,-244,-239,-244,-249,-244,-249,-190,-209,-141,-273,-263,-156,-234,-249,-53,-126,-234,-156,-273,-249,-229,-229,-43,-219,-136,-234,-253,-166,-102,-131,-122,-156,-156,-234,-126,-39,-112,-136,-234,-253,-117,-229,-117,-43,-107,-239,-244,-263,-224,-253,-234,-161,-209,-224,-244,-268,-122,-219,-214,-39,-214,-122,-219,-161,-273,-263,-83,-234,-166,-283,-244,-200,-234,-268,-83,-258,-273,-249,-117,-117,-219,-126,-209,-112
110,-361,-400,-366,-283,-385,-371,-341,-366,-375,-371,-317,-366,-385,-395,-219,-380,-288,-302,-268,-341,-302,-336,-263,-297,-307,-302,-341,-332,-322,-239,-307,-209,-317,-312,-346,-322,-214,-283,-322,-209,-288,-312,-322,-283,-205,-205,-273,-317,-214,-234,-239,-244,-219,-278,-161,-283,-302,-214,-224,-283,-346,-258,-229,-322,-317,-253,-317,-356,-336,-327,-239,-390,-185,-346,-336,-317,-336,-244,-322,-336,-292,-312,-317,-317,-327,-322,-327,-336,-312,-302,-244,-361,-351,-253,-322,-336,-180,-239,-312,-273,-366,-336,-317,-317,-175,-312,-239,-327,-332,-283,-209,-244,-229,-253,-258,-322,-239,-170,-219,-229,-312,-322,-214,-317,-234,-175,-214,-322,-317,-356,-302,-356,-322,-278,-302,-292,-317,-361,-224,-312,-297,-161,-302,-224,-302,-273,-356,-336,-205,-317,-263,-346,-322,-283,-327,-351,-214,-341,-327,-327,-239,-239,-307,-244,-292,-219
120,-410,-463,-419,-375,-439,-419,-415,-415,-424,-410,-415,-419,-444,-449,-351,-429,-356,-380,-366,-385,-356,-390,-332,-346,-366,-351,-385,-371,-375,-322,-380,-297,-375,-356,-390,-375,-302,-322,-400,-302,-336,-356,-375,-332,-292,-283,-346,-366,-292,-302,-332,-332,-312,-332,-273,-322,-356,-288,-292,-380,-400,-356,-317,-366,-395,-356,-366,-410,-385,-375,-332,-434,-288,-400,-390,-361,-380,-336,-375,-385,-361,-366,-366,-366,-366,-375,-385,-385,-390,-346,-317,-415,-400,-327,-375,-390,-292,-341,-356,-361,-424,-395,-361,-366,-278,-356,-322,-380,-380,-356,-297,-317,-302,-327,-346,-375,-322,-288,-317,-302,-356,-366,-297,-366,-312,-288,-302,-371,-371,-410,-351,-405,-371,-341,-346,-346,-366,-410,-312,-361,-341,-278,-351,-312,-351,-371,-400,-380,-312,-361,-327,-390,-371,-332,-380,-395,-322,-385,-380,-380,-400,-327,-356,-332,-341,-302
