Time,602,603,604,605,606,607,678,679,680,681,682,683,684,685,734,735,736,737,738,739,740,741,790,791,792,793,794,795,796,797,846,847,848,849,850,851,852,853,974,975,976,977,1072,1073,1074,1075,1076,1077,1078,1079,1110,1111,1112,1113,1138,1139,1140,1141,1418,1419,1420,1421,1422,1423,1424,1425,1474,1475,1476,1477,1478,1479,1480,1481,1510,1511,1512,1513,1558,1559,1560,1561,1562,1563,1564,1565,1579,1884,1885,1886,1945,1946,1947,1948,1949,1950,1951,1952,1964,1986,1987,1988,1989,2034,2035,2036,2037,2038,2039,2040,2041,2090,2091,2092,2093,2094,2095,2096,2097,2131,2132,2133,2134,2135,2232,2233,2234,2248,2249,2300,2301,2302,2303,2304,2305
0,151,92,122,112,107,92,317,146,126,117,122,122,292,122,102,146,122,117,112,117,117,117,190,170,234,258,209,112,302,292,190,239,234,244,219,161,234,478,136,102,322,278,146,117,107,102,97,117,141,151,214,131,234,205,107,102,122,122,117,87,307,136,131,131,141,117,112,102,288,136,126,136,136,112,166,112,117,107,112,185,117,107,107,122,141,136,107,122,102,87,97,175,68,126,122,117,122,107,463,107,107,131,126,126,126,131,112,122,107,87,117,209,107,126,122,87,175,63,117,112,117,131,122,141,146,107,122,146,166,126,122,126,131,117,136
10,146,97,122,117,107,87,317,146,126,117,122,122,288,122,97,146,122,117,107,126,117,112,185,180,234,258,209,112,302,292,195,239,239,239,214,161,234,478,136,102,322,273,141,117,107,107,97,112,136,156,219,126,239,200,112,102,117,122,117,87,312,136,131,126,141,117,112,102,288,136,126,136,131,112,161,112,117,102,117,190,117,107,107,122,136,136,107,122,102,87,97,175,63,126,117,117,122,107,463,107,107,131,126,122,126,136,112,126,97,87,112,209,107,126,122,87,180,58,122,112,117,131,122,141,151,107,126,146,166,126,122,126,131,112,131
20,151,92,117,117,102,92,322,141,131,117,117,122,292,117,102,146,122,117,107,122,112,117,185,175,234,258,209,112,297,292,190,239,239,244,219,161,234,473,131,97,322,273,146,117,107,102,97,112,141,151,219,126,239,200,112,102,117,122,117,87,312,136,131,126,141,117,107,97,288,136,126,141,131,112,161,112,117,107,112,185,117,107,102,117,141,136,107,122,102,87,97,175,63,126,117,117,122,107,463,102,107,136,126,126,126,131,112,126,107,87,117,214,107,131,122,87,180,63,117,112,122,131,126,141,151,107,126,146,166,131,117,126,131,112,136
30,151,97,122,117,107,87,317,141,131,117,122,122,292,122,102,146,122,112,107,126,117,117,190,175,234,258,209,112,302,292,190,239,239,244,219,161,234,473,131,102,322,278,146,117,107,107,97,117,141,151,219,126,234,200,107,102,117,122,117,83,307,141,136,126,136,122,112,102,288,136,126,136,131,112,161,107,117,107,112,185,117,107,107,117,136,136,107,122,102,92,97,175,68,131,122,117,122,107,463,102,102,131,126,126,126,131,112,122,102,87,112,209,112,126,122,87,175,58,122,112,122,131,126,141,146,107,122,146,166,126,122,126,126,117,136
40,151,92,117,117,107,97,317,141,131,112,117,122,292,122,102,146,122,117,107,122,112,117,185,175,234,253,209,112,302,297,190,234,234,244,214,156,229,473,131,102,322,278,141,117,107,102,97,117,141,151,219,126,239,200,112,97,117,122,117,87,307,136,131,126,141,117,107,97,283,141,131,136,136,112,161,107,117,107,112,180,117,102,107,117,141,136,107,122,102,87,97,175,68,126,122,117,122,107,463,107,102,131,126,122,122,136,112,122,107,87,117,209,107,126,122,92,175,58,117,117,122,131,126,141,146,107,122,146,166,131,117,126,126,117,136
50,146,92,122,117,102,92,317,141,126,112,122,126,288,117,102,146,122,112,107,126,117,117,185,175,234,258,209,112,302,292,190,234,234,239,219,161,229,473,131,102,322,273,141,117,107,107,97,117,141,151,214,126,234,200,107,102,117,122,117,83,307,136,136,131,136,117,107,97,288,136,131,136,136,112,161,107,117,107,112,185,117,102,102,117,141,136,102,122,102,87,97,175,68,126,117,117,122,107,463,107,102,131,126,126,126,136,112,122,102,87,112,209,107,131,122,87,180,58,117,117,122,126,126,141,151,107,126,146,166,126,122,126,126,117,136
60,151,92,117,117,107,92,317,141,126,112,122,122,288,117,97,146,122,117,107,122,112,112,185,175,234,258,209,117,302,292,190,234,234,239,214,156,229,478,131,102,317,278,146,117,107,102,92,117,141,151,214,126,234,200,107,97,122,122,117,87,312,141,136,131,136,122,107,97,288,136,126,136,131,112,161,107,117,107,112,180,117,102,107,122,141,136,107,122,102,87,92,175,68,126,117,117,117,107,463,102,107,136,126,126,122,136,112,122,102,87,112,209,102,126,122,92,175,58,117,117,122,131,122,141,146,107,122,146,161,131,122,126,126,117,136
70,151,92,117,112,107,92,317,136,126,117,117,117,292,117,97,146,122,112,107,117,117,117,185,175,234,258,209,112,302,292,190,234,234,239,214,166,229,473,131,97,317,273,141,112,102,102,92,112,141,151,214,126,234,200,107,97,117,126,117,83,307,131,131,126,136,117,107,92,288,136,126,136,136,112,161,107,117,107,112,180,112,107,102,117,141,136,102,117,97,83,97,170,68,126,117,117,122,107,463,102,102,131,126,122,122,131,107,122,102,87,112,205,107,126,122,87,175,58,117,117,117,131,122,141,146,107,122,146,161,126,117,126,126,117,136
80,141,92,117,117,107,92,322,141,126,117,122,122,288,122,97,146,117,112,102,122,112,112,185,175,234,258,209,117,302,292,190,234,234,239,209,156,229,473,131,97,317,273,141,117,102,102,92,112,136,156,214,126,234,200,107,97,117,126,117,83,307,136,131,131,141,117,107,97,283,136,126,136,131,112,156,112,117,107,112,185,117,102,102,117,141,141,102,117,102,87,92,175,63,122,117,112,122,107,463,102,102,126,126,122,126,131,112,122,102,92,112,209,102,126,117,87,175,58,117,117,117,126,122,136,151,107,122,141,166,126,122,126,126,117,136
90,146,92,117,117,107,87,312,141,131,117,117,122,292,117,102,146,122,112,107,122,117,117,180,180,234,258,209,112,302,292,190,239,239,239,214,161,234,478,131,97,317,273,146,112,102,102,92,112,136,146,214,126,234,200,107,102,117,122,117,83,307,136,131,126,141,117,107,97,288,136,126,136,136,107,161,112,112,107,112,185,112,102,102,117,141,136,102,122,102,87,97,170,63,126,117,112,122,107,458,107,107,131,126,122,126,131,107,122,102,87,112,209,107,122,117,87,175,58,117,112,117,126,122,141,151,107,122,141,161,131,122,126,126,112,131
100,151,92,117,117,102,87,317,141,131,117,117,122,288,107,97,141,122,117,107,122,112,107,185,175,234,258,209,112,302,288,190,234,234,244,214,156,234,473,131,97,317,273,141,112,102,102,97,112,136,146,214,126,234,200,107,102,117,122,117,83,307,136,136,126,141,112,107,97,288,141,126,131,131,107,161,107,112,107,112,180,117,102,102,112,141,136,102,117,102,87,97,170,63,126,117,112,122,97,463,102,102,131,126,122,122,131,107,122,97,87,107,209,102,126,117,87,175,58,112,112,117,126,122,136,146,107,122,141,161,122,117,126,126,117,131
110,146,78,112,117,102,68,312,126,126,112,117,102,288,92,97,131,117,112,102,107,112,87,180,166,234,253,209,97,297,268,190,224,234,239,209,141,229,468,126,83,317,273,136,97,102,102,92,87,136,126,209,117,234,200,102,92,117,122,112,73,307,131,126,107,136,87,107,83,288,141,126,112,126,87,156,97,112,107,112,166,112,102,102,97,136,117,102,117,87,87,92,156,63,126,117,97,117,78,458,97,87,126,126,117,112,131,112,122,83,83,87,205,92,122,117,87,151,53,92,112,107,126,122,136,146,92,122,141,151,126,107,126,126,107,117
120,136,68,107,112,87,48,307,117,117,112,102,87,268,73,87,112,112,112,87,83,92,68,170,151,219,253,195,87,278,244,180,209,224,244,205,122,214,454,117,68,307,273,126,83,87,102,87,73,112,107,205,112,224,195,92,73,107,122,97,58,297,141,122,87,112,73,92,68,278,141,112,92,112,73,146,78,102,107,97,151,102,102,97,73,117,97,87,102,73,73,78,146,53,126,102,73,92,63,449,87,73,122,126,112,97,122,112,107,63,68,68,195,78,117,117,73,136,39,73,102,92,117,122,131,131,73,107,131,131,112,83,117,126,102,87
130,122,48,87,112,78,29,283,97,102,112,87,58,244,53,73,97,97,112,78,63,73,48,161,126,205,253,180,78,258,219,161,185,209,244,185,102,190,439,102,53,288,273,112,63,78,102,68,48,97,83,185,97,205,200,83,53,92,122,83,39,278,136,107,68,92,53,78,48,258,141,102,68,87,53,131,63,83,102,78,131,92,102,83,58,97,78,73,87,58,58,63,126,34,126,92,58,73,43,439,78,53,102,126,92,73,102,112,92,48,48,48,180,58,97,117,63,107,19,53,83,68,102,122,112,117,58,92,117,112,102,73,92,126,78,68
140,102,34,63,112,53,9,268,78,78,112,73,48,219,43,63,78,73,112,58,48,43,39,141,107,175,258,161,78,234,200,141,170,180,244,166,78,170,419,87,34,258,278,92,43,53,102,48,34,73,73,166,97,180,200,63,34,68,122,73,19,249,131,83,53,73,43,58,34,229,136,78,53,73,39,112,43,63,107,68,117,68,102,63,39,78,58,58,68,39,34,48,107,14,126,73,34,58,29,424,63,39,78,126,78,58,78,112,73,24,24,34,161,39,78,117,43,92,-4,43,68,53,78,122,102,97,39,68,97,92,87,48,73,122,63,53
150,73,14,48,112,34,4,239,63,53,112,53,34,190,29,39,58,53,112,39,29,29,24,117,87,156,253,136,68,214,180,122,146,156,244,141,68,146,400,68,24,234,273,73,34,39,97,24,24,53,53,146,92,161,200,43,19,48,122,53,4,224,136,63,39,53,24,43,24,209,136,58,39,53,24,92,24,48,102,48,92,43,102,43,29,58,43,39,48,29,19,34,92,-4,122,53,24,39,14,405,39,29,58,126,58,48,58,107,58,14,9,24,136,29,58,117,24,73,-14,24,53,39,58,122,78,83,24,53,73,78,58,39,48,126,53,39
160,58,4,19,112,19,-9,214,53,43,112,39,19,161,14,19,39,39,112,29,14,14,9,92,78,136,253,122,68,190,156,97,131,141,239,122,53,126,375,48,9,209,273,58,14,24,97,14,9,34,39,126,87,136,200,29,4,29,122,39,0,205,131,43,24,43,14,29,9,185,131,43,29,34,14,78,9,34,102,39,83,29,102,29,14,43,24,24,34,14,4,14,78,-14,126,29,14,24,0,385,24,14,39,122,39,34,48,107,39,-4,-9,4,117,19,43,112,4,58,-34,9,34,24,43,122,63,68,14,34,58,63,48,24,34,126,34,24
170,48,0,9,107,0,-19,195,43,29,112,24,4,136,4,4,24,24,112,14,4,0,0,83,58,117,253,102,63,166,141,87,112,122,244,112,39,107,356,34,-4,185,273,43,-4,4,102,0,0,24,29,107,87,122,195,19,-9,14,122,24,-14,180,131,34,9,29,9,14,-4,166,131,34,9,29,4,63,0,19,102,24,63,14,102,14,-4,29,19,9,19,4,-9,4,63,-29,122,19,0,19,-9,361,14,0,24,122,24,19,29,107,29,-9,-14,-4,102,4,24,112,-14,39,-43,0,19,14,24,122,48,48,4,24,48,48,29,14,19,126,19,9
180,24,-9,-14,107,-4,-34,170,29,14,112,14,-4,117,-9,0,14,14,107,0,-4,-4,-9,73,53,97,253,92,68,151,122,78,102,97,234,92,24,92,332,24,-14,166,273,29,-14,-4,92,-9,-14,14,14,97,83,102,195,4,-19,4,117,14,-14,161,126,29,0,19,-4,9,-9,141,126,24,0,9,-4,48,-9,9,97,14,53,4,97,9,-19,19,4,0,9,-4,-19,-9,53,-39,117,14,-14,4,-19,336,4,-4,4,117,14,14,19,102,24,-29,-24,-14,87,0,14,112,-24,29,-58,-9,9,9,9,112,34,39,0,14,34,39,19,9,0,117,9,-4
190,14,-24,-24,92,-19,-34,146,19,9,87,4,-14,92,-19,-9,0,0,87,0,-19,-9,-19,58,39,78,234,73,68,126,107,63,78,83,224,83,14,78,307,14,-24,151,253,19,-24,-19,73,-19,-24,0,4,83,83,87,170,-4,-29,-4,92,4,-24,136,112,19,-9,9,-14,-4,-19,122,117,4,-9,0,-14,39,-14,-9,83,0,34,-9,83,-4,-24,9,-4,-9,4,-14,-29,-14,34,-48,97,0,-19,-9,-34,312,0,-14,-4,97,4,0,4,87,4,-29,-39,-24,73,-19,4,97,-29,14,-63,-24,4,0,0,87,19,29,-14,0,19,19,9,-4,-9,102,-4,-9
200,0,-34,-34,63,-24,-48,126,4,-4,68,-4,-24,63,-24,-24,-9,-9,68,-14,-19,-19,-29,43,29,68,214,58,63,112,92,43,68,73,200,63,4,68,283,0,-34,131,224,4,-29,-24,43,-29,-29,-4,-4,68,83,68,146,-19,-39,-14,73,-9,-34,117,87,0,-19,4,-24,-14,-34,107,92,-4,-19,-4,-24,24,-24,-19,58,-9,29,-24,53,-14,-34,-4,-14,-24,-9,-19,-39,-29,24,-58,73,-9,-34,-19,-39,288,-19,-24,-19,78,-4,-4,-4,68,-9,-43,-43,-34,58,-19,-9,73,-43,0,-68,-29,-9,-14,-9,68,9,14,-24,-9,4,9,-4,-19,-19,78,-14,-14
210,-4,-39,-48,43,-34,-53,97,-4,-9,43,-19,-29,48,-39,-34,-19,-19,43,-29,-34,-29,-34,29,9,53,180,43,68,97,78,39,53,58,166,48,-9,53,258,-9,-43,112,195,-4,-39,-34,34,-39,-39,-14,-9,53,78,58,122,-24,-48,-24,48,-19,-48,102,68,-4,-29,-4,-29,-19,-39,92,68,-9,-24,-19,-34,14,-34,-24,34,-19,14,-29,29,-24,-39,-19,-19,-34,-19,-34,-43,-34,14,-63,53,-19,-39,-24,-43,258,-29,-34,-24,53,-14,-19,-19,43,-19,-53,-53,-43,48,-34,-19,43,-53,-4,-78,-34,-24,-24,-14,43,-4,4,-29,-19,-4,0,-9,-24,-34,58,-24,-19
220,-14,-43,-53,19,-43,-58,78,-19,-19,29,-24,-34,34,-39,-48,-24,-24,29,-39,-39,-43,-48,19,4,43,156,34,58,78,63,19,43,48,146,43,-14,43,234,-24,-48,97,175,-14,-48,-39,14,-43,-43,-24,-19,39,83,43,102,-34,-53,-34,29,-34,-48,87,48,-9,-34,-14,-43,-34,-48,73,48,-14,-34,-24,-43,4,-43,-29,19,-29,9,-39,14,-34,-53,-24,-29,-39,-29,-39,-48,-43,0,-73,34,-24,-48,-34,-58,239,-39,-43,-39,34,-24,-29,-24,24,-24,-63,-58,-53,29,-39,-29,19,-63,-14,-87,-43,-29,-29,-24,29,-14,-4,-39,-29,-14,-4,-24,-29,-43,39,-24,-34
230,-24,-53,-68,4,-53,-73,63,-19,-34,14,-39,-48,14,-53,-63,-34,-39,19,-48,-58,-53,-63,4,-9,34,141,24,58,58,43,9,29,34,126,24,-29,29,209,-29,-53,83,156,-24,-53,-48,4,-53,-53,-34,-29,24,78,29,87,-39,-53,-43,14,-39,-58,73,34,-19,-43,-29,-53,-43,-53,58,29,-29,-43,-34,-48,-9,-48,-39,9,-39,-4,-43,4,-43,-63,-34,-39,-48,-39,-43,-63,-48,-4,-83,24,-34,-58,-48,-58,214,-43,-48,-48,19,-34,-39,-29,14,-29,-73,-73,-68,24,-48,-39,9,-68,-29,-97,-53,-39,-39,-39,14,-14,-9,-43,-34,-24,-14,-29,-39,-53,29,-39,-43
240,-34,-58,-73,-14,-63,-83,39,-29,-48,9,-43,-53,-9,-63,-73,-43,-48,9,-58,-68,-73,-73,0,-14,19,122,14,58,43,34,0,24,24,107,19,-34,19,195,-39,-58,63,136,-34,-68,-63,-4,-63,-58,-48,-43,14,78,19,73,-48,-63,-53,4,-53,-68,58,29,-29,-63,-43,-58,-53,-63,48,19,-39,-53,-43,-63,-19,-58,-48,0,-43,-9,-53,0,-53,-73,-43,-48,-58,-48,-53,-73,-58,-14,-92,9,-43,-68,-53,-73,190,-53,-58,-58,14,-48,-43,-43,4,-48,-87,-87,-78,9,-58,-53,0,-83,-43,-107,-58,-48,-48,-48,9,-29,-24,-53,-43,-29,-24,-43,-43,-58,19,-43,-48
250,-48,-73,-78,-19,-68,-87,19,-39,-58,4,-48,-63,-19,-73,-97,-58,-58,4,-68,-87,-83,-83,-4,-34,9,107,0,83,29,19,-4,14,9,97,9,-48,0,166,-53,-73,53,122,-43,-78,-68,-9,-68,-73,-58,-53,4,73,4,63,-58,-73,-63,0,-58,-78,43,14,-43,-73,-53,-73,-68,-83,34,9,-43,-68,-58,-78,-29,-73,-58,-4,-53,-24,-63,-9,-58,-83,-58,-63,-68,-53,-63,-83,-68,-29,-102,4,-58,-78,-68,-83,166,-63,-68,-63,0,-58,-58,-58,-4,-58,-97,-97,-92,-4,-68,-63,-9,-92,-53,-122,-68,-58,-58,-53,0,-39,-39,-63,-53,-43,-34,-48,-58,-68,9,-53,-63
260,-63,-87,-92,-34,-83,-102,-4,-58,-68,-14,-63,-73,-29,-83,-107,-78,-73,-9,-78,-102,-92,-92,-24,-48,0,87,-9,63,14,4,-24,0,-9,78,-4,-53,-9,141,-63,-83,39,102,-58,-87,-87,-24,-78,-83,-68,-58,-4,68,-4,43,-68,-83,-68,-19,-68,-92,24,4,-58,-83,-63,-78,-73,-92,19,0,-58,-73,-68,-83,-39,-83,-68,-19,-58,-43,-73,-29,-73,-87,-68,-78,-78,-68,-78,-92,-83,-43,-112,-14,-68,-83,-78,-102,146,-73,-83,-78,-19,-73,-68,-68,-19,-63,-97,-107,-102,-19,-83,-73,-29,-102,-63,-126,-78,-68,-78,-68,-19,-48,-48,-73,-63,-53,-48,-53,-68,-78,-4,-63,-68
