Time,23,24,184,185,186,187,188,189,190,191,240,241,242,243,244,245,246,247
550,-249,-263,-268,-239,-283,-341,-268,-253,-341,-258,-253,-258,-229,-234,-268,-249,-356,-253
560,-253,-263,-273,-239,-288,-341,-268,-253,-346,-258,-253,-263,-229,-229,-268,-249,-361,-249
570,-253,-268,-273,-249,-288,-351,-268,-258,-346,-258,-253,-263,-229,-239,-263,-253,-366,-258
580,-253,-268,-273,-253,-297,-361,-273,-258,-346,-258,-258,-268,-239,-249,-268,-258,-366,-258
590,-253,-268,-273,-249,-297,-361,-273,-263,-351,-263,-253,-268,-239,-253,-268,-258,-371,-258
600,-253,-268,-278,-249,-297,-361,-283,-263,-346,-258,-258,-268,-244,-253,-273,-258,-375,-263
610,-258,-278,-278,-249,-302,-366,-283,-268,-351,-263,-258,-273,-249,-253,-278,-263,-371,-263
620,-268,-283,-283,-253,-307,-375,-288,-268,-356,-273,-263,-273,-253,-258,-278,-263,-375,-268
630,-273,-278,-283,-253,-307,-371,-283,-268,-356,-268,-268,-273,-258,-253,-278,-263,-371,-268
640,-273,-288,-283,-258,-302,-375,-288,-273,-356,-273,-263,-273,-263,-258,-283,-268,-371,-268
