Time,304,305,306,307,308,309,310,311,344,345,346,347,348,349,350,351,384,385,386,387,388,389,390,391,424,425,426,427,428,429,430,431,464,465,466,467,468,469,470,471,480,481,906,907,908,909,910,911,912,913,946,947,948,949,950,951,952,953,1178,1179,1180,1181,1182,1183,1184,1185,1218,1219,1220,1221,1222,1223,1224,1225,1258,1259,1260,1261,1262,1263,1264,1265,1286,1287,1288,1289,1290,1613,1614,1615,1616,1617,1618,1619,1620,1653,1654,1655,1656,1657,1658,1659,1660,1693,1694,1695,1696,1697,1698,1699,1700,1733,1734,1735,1736,1737,1738,1739,1740,1757,1758,1759,1760,1842,1843,1844,2167,2168,2205,2206,2207,2208,2209,2210
0,0,0,4,0,0,4,4,4,4,4,0,0,0,4,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,4,4,4,0,0,4,4,0,4,0,4,0,4,0,0,4,0,0,0,4,4,0,0,0,9,0,4,9,4,0,0,0,4,0,4,0,4,4,4,0,4,4,4,0,4,0,0,0,4,0,9,4,4,0,0,4,4,4,4,4,4,0,4,4,0,4,4,0,4,0,4,0,0,4,4,0,0,4,9,0,0,4,0,0,4,0,4,0,0,0,4,4,4,0,4,0,4,4
10,0,0,4,4,0,4,0,0,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,9,0,0,0,4,4,0,4,4,0,0,4,0,4,4,0,0,0,4,4,0,4,4,4,4,4,4,0,4,0,4,4,4,9,0,0,0,4,4,0,4,4,4,0,4,4,4,4,0,0,4,4,0,-4,0,0,9,0,9,4,0,4,4,0,4,4,9,0,0,4,0,0,4,0,4,4,4,0,4,4,4,0,0,4,4,9,0,4,0,0,4,0,4,0,4,0,4,4,4,0,0,0,4,4
20,0,0,0,4,0,4,4,4,4,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,4,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,4,4,4,4,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,4,4,4,4,0,0,0,-4,0,0,4,0,4,4,4,4,0,4,-4,0,4,4,0,0,4,0,4,0,4,0,4,4,4,0,4,0,4,0,0,4,0,0,4,0,4,0,4,0,4,4,9,0,0,4,4,4,4,4,0,4,0,0,0,0,0,4,0,4,4,0,4,4,0,4
30,0,0,4,4,0,4,4,0,4,0,4,0,0,4,0,4,0,4,0,0,4,4,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,4,4,0,4,0,0,0,4,4,0,4,0,0,0,0,4,0,4,0,4,4,4,9,4,4,0,0,0,0,4,0,4,4,4,0,0,4,0,0,4,0,0,0,4,4,4,4,0,0,0,4,4,4,4,4,4,0,0,0,0,4,4,0,4,0,4,0,0,4,0,0,0,0,4,4,4,0,4,4,4,0,4,0,0,0,0,4,4,0,4,0,0,4
40,0,0,4,0,0,4,0,4,4,4,4,0,4,0,0,0,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,4,0,0,4,0,0,4,0,0,4,4,4,0,4,0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,9,0,4,9,0,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,0,0,4,4,0,4,0,4,0,4,4,0,4,4,0,4,0,4,0,0,4,4,0,0,4,4,0,4,4,4,0,0,0,4,0,4,0,4,4,4,0,4,4,4,0
50,0,4,4,0,0,4,0,0,4,9,4,0,0,0,0,0,-4,4,4,0,4,0,4,4,0,4,0,4,0,0,4,0,0,4,0,4,4,0,4,0,4,4,4,0,9,-4,0,-4,0,0,0,4,0,0,4,4,4,0,4,0,4,0,0,4,0,0,0,0,4,0,4,0,4,4,0,4,4,4,0,0,4,0,0,0,4,4,9,0,4,0,0,4,0,0,4,0,4,0,4,4,0,0,4,0,4,0,4,0,0,0,4,0,0,4,4,9,0,0,4,0,4,0,4,0,0,0,4,9,4,0,0,4,0,4
60,4,0,0,4,0,4,0,4,4,4,4,4,0,0,0,0,0,4,0,0,4,0,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,4,4,9,0,4,0,0,0,0,0,0,4,0,4,4,4,4,0,4,0,9,4,4,9,4,0,0,0,4,0,0,4,9,4,4,0,4,4,0,4,4,0,0,0,0,0,4,4,4,0,4,4,4,4,4,4,4,0,4,4,0,4,4,0,4,0,4,4,4,4,4,4,0,4,9,4,4,4,4,4,4,0,4,0,4,0,4,4,4,0,4,0,4,4
70,29,14,24,9,19,19,14,19,29,19,29,9,29,24,14,19,24,19,19,4,24,24,9,24,29,14,24,9,24,19,19,24,29,14,24,0,19,24,19,24,29,24,29,9,24,0,24,24,19,24,29,19,19,4,24,19,19,9,29,9,29,0,29,34,19,14,24,14,19,0,24,19,14,24,29,14,29,4,19,19,14,24,29,14,29,4,34,24,14,24,9,29,24,19,19,29,19,24,9,29,19,19,19,29,19,19,9,19,19,19,19,29,14,24,9,24,19,24,19,29,14,19,14,24,14,24,14,29,24,14,24,4,29,34
80,73,63,73,73,63,78,73,68,73,68,73,73,73,78,73,78,63,68,73,68,73,78,78,68,68,63,78,68,68,73,83,78,68,63,78,68,83,83,83,73,68,73,73,63,78,68,73,78,73,87,68,63,78,68,73,83,83,73,73,63,78,68,78,97,73,73,68,63,78,68,73,83,83,83,73,63,83,73,78,83,73,83,58,68,78,78,92,68,68,73,73,78,78,83,73,68,68,78,73,73,73,73,73,63,73,68,73,68,78,78,73,68,58,78,73,68,78,83,78,68,58,78,68,68,68,73,78,92,68,63,73,68,78,78
