Time,482,483,484,485,486,487,500,501,502,503,504,505,506,507,524,525,526,527,528,529,530,531,548,549,550,551,552,553,554,555,614,615,616,617,618,619,620,621,862,863,864,865,984,985,986,987,988,989,990,991,1008,1009,1010,1011,1020,1021,1022,1023,1291,1292,1293,1294,1295,1296,1297,1298,1315,1316,1317,1318,1319,1320,1321,1322,1339,1340,1341,1342,1351,1352,1353,1354,1363,1364,1365,1366,1367,1761,1762,1763,1764,1765,1766,1767,1768,1785,1786,1787,1788,1789,1790,1791,1806,1807,1808,1809,1810,1811,1812,1813,1845,1846,1847,1848,1849,1850,1851,1852,1890,1891,1892,1893,1894,2169,2170,2171,2211,2212,2252,2253,2254,2255,2256,2257
0,107,112,258,131,229,122,156,102,112,122,219,117,156,126,117,102,107,126,249,117,136,122,117,112,131,122,117,126,136,122,112,122,117,112,117,112,136,117,141,229,107,102,112,107,253,112,102,175,126,161,209,122,117,112,170,136,141,253,239,126,224,126,161,224,117,195,239,112,224,161,205,185,117,219,175,200,209,117,229,117,253,209,200,117,234,122,122,170,102,244,112,122,146,122,126,234,117,146,107,151,141,107,131,102,112,122,117,205,122,126,239,112,122,239,175,117,107,102,122,239,126,151,185,156,107,136,190,122,166,117,234,239,97,122
10,107,112,253,131,229,122,156,102,112,126,219,117,156,122,122,102,107,126,253,117,131,122,117,112,131,122,122,131,136,126,107,122,117,112,117,112,131,122,136,234,107,102,107,107,249,107,102,175,126,161,209,117,117,112,175,141,141,253,239,126,219,126,161,224,117,200,239,112,229,156,205,185,122,219,175,200,209,122,234,112,253,209,200,117,229,122,122,175,107,244,112,126,141,117,126,234,122,146,107,151,141,112,131,102,112,122,122,209,122,126,239,112,122,239,175,122,112,102,126,185,122,151,185,151,107,141,190,122,170,117,239,239,97,122
20,107,117,258,131,229,117,156,102,112,126,219,112,156,126,122,102,107,131,249,117,136,122,117,112,131,122,122,126,141,126,107,126,117,107,117,112,131,117,141,234,107,107,107,102,249,112,107,175,126,161,214,122,117,117,170,141,141,253,239,131,224,126,161,224,117,195,239,112,229,161,205,185,122,219,175,200,209,122,229,117,249,205,200,117,229,122,122,175,107,244,112,122,141,117,126,234,122,151,107,151,141,107,131,102,112,122,122,209,122,126,239,112,122,239,175,117,107,102,126,151,122,151,190,151,107,136,190,117,166,117,234,239,97,122
30,107,112,253,131,234,122,156,102,112,126,219,112,161,126,122,97,107,131,249,122,136,122,122,112,136,122,122,131,136,122,107,126,117,112,117,112,136,122,136,234,107,107,112,107,253,107,107,175,126,161,209,122,117,117,175,141,146,253,239,131,224,126,161,229,117,200,239,112,229,161,205,185,122,224,175,205,214,117,234,117,249,205,205,117,234,126,122,175,107,244,112,126,146,122,126,234,122,151,107,151,141,107,126,102,112,126,122,209,122,126,239,117,122,239,175,122,112,102,126,136,122,151,185,151,107,141,190,117,166,117,234,239,97,122
40,107,117,253,136,229,117,156,102,117,126,219,117,156,126,122,102,107,131,253,122,131,126,122,112,131,122,122,131,141,122,107,122,112,112,117,112,131,122,136,234,107,107,112,107,253,112,107,175,126,161,214,122,117,117,170,141,141,253,239,131,224,126,161,224,117,200,239,112,229,161,205,185,122,224,175,205,214,122,234,112,180,205,205,117,234,126,122,175,107,244,112,122,146,117,126,239,122,151,107,156,141,107,126,107,117,122,122,209,126,126,239,117,122,239,180,122,107,107,126,131,122,151,185,151,107,136,190,117,170,117,234,239,97,122
50,107,112,180,136,229,117,156,102,112,126,219,112,161,126,122,102,107,131,249,117,136,126,122,112,131,122,122,131,141,126,107,126,117,112,122,112,131,117,141,234,107,107,107,102,253,112,102,175,126,161,209,122,117,117,170,141,141,253,239,131,229,122,166,224,122,200,239,112,234,161,205,185,126,219,175,205,214,117,234,112,156,209,205,122,234,126,122,180,112,249,112,122,141,122,126,239,122,146,112,151,141,112,126,102,117,126,122,209,122,126,239,117,126,239,180,126,112,102,126,131,122,151,185,156,107,136,190,117,170,112,239,239,97,122
60,107,112,156,136,229,117,156,102,112,126,219,112,161,126,122,97,102,131,229,117,136,126,122,117,131,126,122,131,141,122,102,122,117,107,117,117,131,122,141,234,112,107,112,107,249,107,107,175,126,156,209,122,117,117,170,141,141,258,239,131,224,122,161,224,122,200,239,112,229,161,209,185,126,224,175,205,209,117,234,112,146,209,200,117,234,126,122,175,112,249,117,126,141,122,126,239,122,151,112,151,141,112,122,102,112,126,122,209,126,126,234,117,126,239,175,122,112,102,122,126,117,151,180,151,107,141,190,117,170,112,239,239,97,117
70,102,112,151,136,234,117,161,102,117,126,224,112,161,126,122,102,107,136,161,122,131,126,122,112,131,126,122,131,141,122,107,122,112,112,122,112,126,117,141,229,112,107,112,102,249,107,102,175,122,156,209,122,122,122,170,141,146,258,239,131,229,122,161,224,117,200,239,112,229,161,209,190,126,219,180,200,214,122,234,112,141,209,205,117,234,126,122,175,107,249,112,126,146,117,126,234,122,151,107,156,141,107,122,102,112,126,122,209,122,126,239,117,126,239,175,126,107,102,126,126,122,151,185,156,107,141,190,117,170,112,239,239,92,117
80,29,53,83,136,166,43,73,24,39,131,146,34,68,34,48,19,39,136,78,24,39,29,48,43,63,122,43,39,43,34,43,48,53,112,48,24,58,14,53,156,34,112,19,29,175,107,19,78,29,63,126,43,39,122,83,58,73,258,151,53,151,122,87,136,29,112,156,39,156,166,136,102,19,126,87,126,136,117,156,43,68,209,117,48,161,131,53,97,39,175,117,58,53,29,39,156,48,78,107,78,43,9,43,24,43,126,48,117,29,34,141,34,43,239,102,29,14,14,43,53,48,151,107,78,29,63,107,39,92,34,161,234,19,29
