Time,288,289,290,291,292,293,294,295,328,329,330,331,332,333,334,335,368,369,370,371,372,373,374,382,408,409,410,411,412,413,414,415,448,449,450,454,455,456,460,461,476,478,890,891,892,893,898,899,900,901,930,931,932,933,938,939,940,941,1162,1163,1164,1165,1166,1167,1168,1176,1202,1203,1204,1205,1206,1207,1208,1216,1242,1243,1244,1245,1246,1247,1248,1256,1276,1277,1278,1279,1280,1597,1598,1599,1600,1601,1602,1603,1604,1637,1638,1639,1640,1641,1642,1643,1644,1677,1678,1679,1680,1681,1682,1683,1684,1717,1718,1719,1720,1721,1722,1723,1724,1749,1751,1753,1755,1836,1838,1840,2157,2158,2159,2160,2161,2162,2163,2164,2192,2193,2196,2197,2200,2201,2204,2314,2317,2320,2323,2326
0,4,4,9,9,4,4,0,0,0,4,9,9,4,9,4,9,4,4,9,9,0,9,4,4,9,9,4,9,9,9,4,9,9,4,9,4,4,4,4,4,4,4,14,19,14,9,9,14,4,9,4,9,9,9,9,9,9,9,4,14,9,4,0,4,0,14,4,4,4,4,4,9,9,0,4,4,9,4,4,4,14,4,9,9,4,9,4,4,4,4,4,0,9,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,9,9,4,9,4,9,4,4,9,4,9,4,0,4,9,4,4,9,9,9,4,4,4,9,9,14,4,14,9,9,9,9,9,4,9,4,9,9
10,0,4,4,9,9,4,0,4,0,4,4,4,0,9,9,9,4,4,9,4,0,9,4,4,9,9,4,9,4,9,9,9,9,4,4,4,4,9,4,4,4,4,14,19,19,9,4,14,9,9,4,9,9,9,14,9,9,9,4,9,4,4,0,4,0,9,4,4,9,4,4,9,9,4,4,4,9,4,9,4,19,4,4,9,9,9,4,4,4,4,4,0,4,4,4,4,4,4,4,4,9,4,0,4,0,9,4,4,4,9,4,4,4,9,4,9,9,4,9,4,0,4,4,9,9,9,9,9,4,4,9,9,9,14,9,14,9,9,4,9,9,9,9,4,9,9
20,4,4,9,9,4,9,0,4,4,4,4,4,4,9,4,4,4,4,9,4,0,9,4,4,4,4,4,9,4,9,9,9,14,4,4,4,4,4,4,4,4,4,14,14,19,9,9,9,4,9,4,9,9,9,9,9,14,9,4,9,9,4,4,9,4,9,4,4,4,4,4,9,9,0,4,4,9,4,9,4,14,4,4,9,4,9,4,4,4,4,4,0,4,4,4,0,4,4,0,4,9,4,0,4,4,9,4,9,4,9,4,4,4,9,4,9,9,9,9,4,0,4,4,9,4,9,9,9,4,4,9,9,14,14,9,14,9,4,9,14,9,9,4,4,9,9
30,4,4,4,9,4,4,0,4,0,4,4,4,0,9,4,9,4,4,9,4,0,4,4,4,4,4,4,9,4,9,9,9,9,4,4,4,4,9,4,0,4,4,14,19,19,9,4,14,9,9,4,9,9,9,9,9,14,9,4,14,9,9,0,4,0,9,0,4,9,4,4,4,9,0,4,4,9,4,9,4,14,4,4,9,4,9,4,4,4,4,4,0,4,4,4,4,4,9,4,4,4,4,0,4,0,4,4,9,9,4,4,4,4,9,4,4,9,4,9,4,4,4,9,9,4,9,9,9,4,4,4,9,9,14,9,14,9,9,9,9,9,9,9,4,9,9
40,0,4,9,9,4,4,4,4,4,4,4,9,4,9,4,14,4,4,4,4,4,4,4,4,4,4,4,9,9,14,9,9,9,4,4,4,4,9,9,4,0,4,9,19,14,9,9,14,9,9,9,9,9,9,14,9,14,9,4,9,4,4,4,4,4,9,4,4,4,9,4,9,9,0,4,4,14,4,9,4,14,4,4,9,4,9,4,4,4,4,4,0,4,4,4,0,0,9,4,4,4,9,0,4,4,4,4,9,4,4,4,4,4,9,9,9,9,9,9,4,4,4,4,4,4,9,9,9,4,4,9,9,9,14,9,14,4,9,9,9,9,9,9,9,9,9
50,4,4,4,9,4,4,4,4,4,4,4,4,4,9,4,9,4,4,4,4,4,4,4,4,4,4,4,9,4,9,9,14,14,0,4,4,4,9,4,4,4,4,9,14,14,9,9,9,4,9,4,9,14,9,9,14,9,9,4,9,4,4,0,9,4,9,4,4,4,9,0,9,9,0,4,4,14,4,4,4,14,4,4,4,4,9,4,4,4,4,4,0,4,4,4,0,4,9,4,4,9,4,0,4,0,9,4,9,4,4,4,4,4,9,4,9,9,4,4,4,4,4,4,4,4,14,9,9,9,4,9,9,9,14,9,14,4,9,9,9,9,9,4,4,9,9
60,0,4,9,9,4,4,4,4,4,4,4,4,0,9,9,9,4,4,4,4,0,4,4,0,4,4,4,9,4,9,9,9,14,0,4,4,4,4,4,4,4,4,14,19,14,9,9,14,9,9,4,9,9,4,14,9,9,9,4,9,9,4,0,9,0,14,4,4,4,9,4,4,9,0,4,4,14,9,4,4,14,4,4,9,4,9,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,9,4,4,4,4,4,9,9,4,9,9,9,4,0,0,9,9,4,9,4,9,4,4,4,9,9,14,4,14,4,9,9,14,9,9,4,4,9,9
70,0,4,9,4,4,4,0,4,4,4,9,4,0,9,4,4,0,4,4,4,4,4,4,4,4,4,9,9,4,9,9,9,9,0,4,4,4,4,4,4,4,4,14,14,19,9,9,9,4,9,4,9,9,9,9,9,9,9,4,9,9,9,4,9,0,14,4,4,4,9,4,4,4,0,4,4,14,4,4,4,14,4,4,9,4,9,4,4,4,4,4,0,4,0,0,0,0,4,4,4,4,4,0,4,0,9,4,4,4,4,4,4,4,9,4,9,9,4,9,4,0,0,4,4,4,14,4,9,9,4,9,9,9,9,4,14,4,9,9,14,9,4,9,4,9,9
80,-63,-58,-48,9,-53,-83,-63,-68,-63,-63,-53,4,-63,-73,-73,-73,-58,-73,-53,4,-68,-87,-68,-73,-63,-53,-53,9,-53,-78,-73,-73,-48,-63,-58,4,-63,-87,-78,-78,-58,-68,-48,-48,-39,9,-68,-78,-68,-73,-63,-53,-48,9,-68,-73,-68,-83,-53,-63,9,-58,-78,-63,-78,-48,-68,-63,-58,9,-58,-73,-73,-92,-68,-63,-53,4,-63,-87,-68,-87,-53,-63,-53,9,-53,-53,-58,-43,4,-63,-78,-73,-73,-58,-63,-58,4,-63,-78,-63,-78,-68,-58,-48,4,-53,-87,-73,-83,-58,-53,-53,4,-58,-78,-73,-83,-58,-53,-63,9,-68,-58,-58,-68,-58,-48,4,-58,-73,-73,-68,-58,-48,-58,9,-58,-68,-73,-63,-63,-63,-58,-58
90,-166,-141,-136,-19,-136,-166,-156,-151,-156,-146,-141,-9,-161,-151,-156,-161,-141,-156,-146,-4,-156,-166,-151,-146,-151,-126,-151,-19,-141,-166,-161,-156,-141,-146,-151,-4,-161,-170,-161,-166,-151,-156,-136,-131,-136,0,-156,-151,-141,-161,-151,-136,-146,0,-161,-146,-161,-170,-151,-151,0,-151,-161,-156,-166,-141,-161,-151,-151,4,-146,-161,-161,-180,-161,-146,-156,4,-151,-175,-156,-175,-146,-156,-151,4,-141,-151,-151,-146,-4,-156,-166,-166,-161,-151,-151,-156,-9,-156,-161,-151,-156,-156,-146,-141,-4,-136,-170,-161,-166,-151,-151,-146,0,-136,-156,-161,-166,-151,-146,-151,-4,-161,-146,-146,-156,-151,-146,-9,-146,-156,-166,-156,-146,-136,-136,4,-146,-156,-166,-166,-146,-166,-156,-151
