Time,578,579,580,581,582,583,646,647,648,649,650,651,652,653,702,703,704,705,706,707,708,709,758,759,760,761,762,763,764,765,814,815,816,817,818,819,820,821,958,959,960,961,1040,1041,1042,1043,1044,1045,1046,1047,1094,1095,1096,1097,1122,1123,1124,1125,1386,1387,1388,1389,1390,1391,1392,1393,1442,1443,1444,1445,1446,1447,1448,1449,1494,1495,1496,1497,1526,1527,1528,1529,1530,1531,1532,1533,1575,1872,1873,1874,1913,1914,1915,1916,1917,1918,1919,1920,1970,1971,1972,1973,2002,2003,2004,2005,2006,2007,2008,2009,2058,2059,2060,2061,2062,2063,2064,2065,2111,2112,2113,2114,2115,2220,2221,2222,2240,2241,2276,2277,2278,2279,2280,2281
0,336,527,522,483,522,527,161,488,527,527,522,483,527,532,478,488,527,527,478,488,527,527,522,488,527,527,522,483,522,527,102,488,527,532,522,483,527,527,273,483,527,532,444,488,527,527,522,483,527,522,488,483,527,527,112,483,527,527,209,488,522,532,522,473,522,532,351,493,522,522,522,478,522,527,478,478,522,527,366,488,522,522,522,478,522,527,-34,14,522,527,390,488,527,532,522,478,522,527,502,478,522,527,444,493,522,527,522,478,522,527,512,493,527,527,375,483,527,527,502,522,483,527,527,449,522,527,351,517,332,527,527,473,522,527
10,336,527,527,483,522,527,161,488,527,527,522,483,527,532,478,493,527,527,478,483,532,527,522,488,527,527,522,483,522,527,107,493,527,527,527,483,527,527,278,483,527,527,444,488,527,527,522,478,527,527,493,483,532,527,112,478,532,532,209,493,522,532,522,478,527,527,351,493,522,522,522,478,522,527,483,478,527,532,366,493,522,522,522,478,522,527,-29,14,522,527,390,488,527,532,522,478,522,527,507,478,522,532,444,488,522,527,522,478,522,527,512,488,522,522,375,483,522,527,502,522,488,527,532,449,522,527,351,517,332,527,522,478,522,527
20,336,527,522,483,522,527,161,488,527,527,522,483,522,527,478,493,527,532,483,488,532,527,522,488,527,527,522,483,522,527,107,493,527,532,522,483,527,527,278,483,527,527,444,493,527,527,522,483,527,527,498,483,532,532,112,478,532,527,209,488,522,527,522,478,522,527,351,493,522,522,522,478,522,527,488,478,527,532,366,493,522,522,522,478,522,527,-34,19,522,527,395,493,527,532,522,478,522,527,507,478,522,532,449,493,522,527,522,478,522,527,512,488,522,522,375,483,522,527,507,522,483,527,532,444,527,527,351,522,332,532,522,478,522,527
30,336,532,522,483,522,527,161,488,527,527,522,483,522,527,473,493,527,527,483,483,532,527,522,488,527,527,522,483,522,527,102,493,527,532,527,483,527,527,273,488,527,532,449,488,527,527,522,483,527,527,498,483,527,532,112,478,532,527,209,488,522,527,522,478,522,527,351,488,522,522,522,478,522,527,488,478,527,532,366,488,522,522,527,478,522,527,-34,14,522,532,390,493,527,532,522,478,522,527,507,478,527,532,444,488,522,527,522,478,522,527,517,488,522,527,375,483,522,527,507,522,483,527,527,449,522,527,351,527,332,527,527,478,522,527
40,336,532,522,483,522,527,161,493,527,527,522,483,522,527,473,493,527,527,478,483,527,527,522,488,527,527,522,483,522,527,102,493,527,527,522,483,527,527,278,483,527,527,449,488,527,527,522,478,527,527,498,483,532,527,112,478,532,532,209,488,522,527,522,478,522,527,351,488,522,522,522,473,522,527,493,483,522,527,366,488,522,522,522,478,522,527,-29,14,522,527,395,493,527,532,522,478,522,527,512,478,522,527,444,493,522,527,522,473,522,527,517,493,522,527,375,483,522,527,512,522,483,527,527,444,522,527,351,527,332,527,522,478,522,527
50,336,527,527,483,522,527,161,488,527,527,522,483,522,532,478,488,527,527,478,483,527,527,522,488,532,527,522,483,522,527,107,488,527,527,522,483,527,527,273,483,527,527,449,493,527,527,522,483,527,527,502,483,527,532,112,478,532,527,205,488,522,527,522,478,522,527,351,488,522,522,522,478,522,527,498,478,522,527,366,493,522,522,527,478,522,527,-29,14,522,532,390,488,527,532,522,473,522,527,512,478,522,527,444,488,522,527,522,478,522,527,517,488,522,527,371,483,522,532,512,522,483,532,532,449,527,527,351,527,332,532,522,478,522,527
60,336,527,522,483,522,527,161,488,527,527,522,483,522,527,478,488,527,527,478,483,527,527,522,488,527,527,522,483,522,527,107,493,527,527,522,483,527,527,273,483,527,532,444,488,527,527,522,483,527,527,502,483,532,527,112,478,532,532,209,488,522,527,522,478,522,527,351,488,522,522,522,478,522,527,498,478,527,527,366,493,522,522,522,478,522,527,-29,14,522,527,395,488,527,532,522,478,522,527,512,478,522,527,444,488,522,527,522,473,522,527,522,488,522,527,375,483,527,527,512,522,483,532,532,444,522,527,351,527,332,532,527,478,522,527
70,336,532,522,483,522,527,161,493,527,527,522,483,522,527,478,493,527,527,478,483,527,527,522,488,527,527,522,483,522,527,102,488,527,527,522,483,527,527,278,483,527,527,449,493,527,527,522,483,527,527,507,483,527,527,112,478,527,527,209,488,527,527,522,478,522,527,351,493,522,522,522,478,522,527,502,478,527,532,361,488,522,522,522,478,522,527,-29,14,522,527,390,488,527,532,522,478,522,527,512,478,522,527,444,488,522,527,522,473,522,527,517,488,527,527,371,483,522,527,517,522,483,532,527,444,522,527,351,527,332,527,527,478,527,527
80,336,527,527,483,522,527,161,493,527,527,522,483,522,527,478,493,527,527,483,483,527,527,522,488,527,532,522,483,522,527,107,493,527,532,522,483,527,527,278,483,527,527,449,488,527,527,522,483,527,527,512,488,527,532,112,478,532,532,205,493,527,527,522,478,522,527,351,488,522,522,522,478,522,527,502,478,522,532,366,488,522,522,522,473,522,527,-29,14,522,527,395,488,527,532,522,478,522,527,512,478,522,527,444,488,522,527,522,478,522,527,517,493,522,527,375,483,522,527,517,522,483,532,527,449,527,527,346,532,332,527,522,478,527,527
