Time,17,18,160,161,162,163,164,165,166,167,216,217,218,219,220,221,222,223,572,573,574,575,576,577,638,639,640,641,642,643,644,645,694,695,696,697,698,699,700,701,750,751,752,753,754,755,756,757,806,807,808,809,810,811,812,813,954,955,956,957,1032,1033,1034,1035,1036,1037,1038,1039,1090,1091,1092,1093,1118,1119,1120,1121,1378,1379,1380,1381,1382,1383,1384,1385,1434,1435,1436,1437,1438,1439,1440,1441,1490,1491,1492,1493,1518,1519,1520,1521,1522,1523,1524,1525,1574,1869,1870,1871,1905,1906,1907,1908,1909,1910,1911,1912,1966,1967,1968,1969,1994,1995,1996,1997,1998,1999,2000,2001,2050,2051,2052,2053,2054,2055,2056,2057,2106,2107,2108,2109,2110,2217,2218,2219,2238,2239,2270,2271,2272,2273,2274,2275
0,190,92,229,170,141,166,107,122,234,151,200,190,180,200,161,166,307,258,224,180,200,214,180,209,253,175,239,205,200,166,312,214,244,175,190,190,278,224,366,288,146,122,112,141,117,141,244,185,195,185,180,200,170,146,273,200,205,200,195,185,224,219,219,229,170,219,312,249,146,151,151,146,249,166,185,224,229,200,229,205,200,166,317,307,200,209,200,195,156,175,317,239,131,141,136,141,273,175,161,185,131,112,239,175,175,170,166,161,205,214,200,214,161,185,292,214,151,122,117,141,219,200,229,219,200,170,312,351,224,200,224,200,244,224,375,288,126,175,151,180,122,253,209,234,166,102,209,136,190,175,146,122
10,190,97,229,170,141,166,107,126,234,151,205,185,180,200,166,166,307,258,224,180,200,209,175,209,253,180,234,209,205,166,317,214,244,175,185,190,278,224,371,288,146,122,112,141,117,141,244,190,195,185,180,200,175,146,273,200,205,200,200,185,224,219,214,224,170,219,317,253,146,146,151,151,249,166,185,224,229,205,229,205,195,170,317,307,200,205,200,195,156,180,317,244,131,141,136,141,273,175,161,185,131,112,234,180,175,170,166,166,205,214,200,214,161,190,297,214,151,122,112,146,214,195,229,214,200,166,307,351,229,200,224,200,244,224,375,283,126,175,151,180,122,253,214,239,170,107,209,136,195,175,151,122
20,190,97,229,170,146,166,107,126,229,151,200,190,175,200,161,166,307,253,229,180,200,209,175,209,253,180,239,209,200,166,317,214,244,180,185,190,278,224,366,288,146,122,112,141,117,141,244,190,195,185,180,200,170,146,273,205,205,200,195,185,224,219,219,229,170,219,317,249,146,151,151,151,249,170,180,224,234,200,229,205,195,170,317,307,200,205,205,195,156,175,317,244,136,141,136,146,273,180,161,185,131,107,239,175,175,170,166,166,205,214,195,214,166,190,297,214,156,122,117,141,214,200,229,219,200,170,312,351,229,205,224,200,244,224,380,288,126,175,146,180,122,253,214,239,170,102,205,136,190,175,146,122
30,190,97,234,170,141,166,107,122,229,151,205,190,180,200,161,170,307,258,224,180,200,214,180,209,253,180,234,205,205,166,317,214,244,180,190,190,278,224,366,288,146,126,112,146,117,136,244,185,195,185,180,200,170,146,273,200,205,205,200,185,224,219,214,229,170,219,317,249,146,151,156,151,249,170,185,224,234,205,229,205,195,170,317,312,200,205,205,195,156,180,317,244,136,141,136,146,278,175,161,185,131,107,239,175,175,170,166,161,205,219,195,219,161,185,292,219,156,126,117,141,219,200,229,219,200,170,307,351,229,205,219,200,244,224,375,288,126,175,151,180,122,253,214,239,170,107,209,136,195,180,146,122
40,190,97,229,170,141,170,107,126,234,151,205,190,175,200,161,170,307,258,229,180,205,209,175,209,253,180,239,209,200,166,317,214,244,180,190,190,283,224,366,292,151,122,112,146,117,136,244,185,200,185,180,200,170,146,273,200,205,200,200,185,224,219,219,229,170,219,317,249,146,151,151,151,249,170,185,224,234,205,229,205,200,166,317,312,205,205,200,195,156,180,312,244,136,141,136,146,273,175,161,185,131,112,234,175,175,175,166,161,205,219,200,214,161,190,292,214,156,122,117,141,214,200,229,214,200,170,312,356,229,205,219,200,244,224,375,288,126,175,151,180,122,253,214,239,170,107,209,136,195,175,146,122
50,190,97,229,170,146,166,107,126,229,151,205,190,180,195,166,170,307,258,224,180,200,214,175,209,253,180,239,205,205,166,317,214,239,180,185,190,278,219,366,288,146,126,112,146,117,136,239,185,195,185,180,200,170,146,273,200,200,200,195,185,224,219,214,229,170,219,317,249,146,151,156,151,244,170,185,219,229,205,224,200,200,166,317,307,205,205,200,195,156,175,312,244,131,136,131,146,273,175,161,185,126,112,234,175,170,170,166,161,205,214,195,219,166,190,292,214,151,122,112,141,214,200,229,214,200,170,307,346,229,200,219,200,244,219,375,288,126,175,146,175,122,253,214,234,166,107,205,136,190,180,151,117
60,190,97,229,170,141,170,107,126,229,151,205,190,175,200,166,166,307,258,224,180,205,214,180,209,253,175,234,205,200,166,312,209,244,175,185,190,278,219,366,288,146,122,112,146,117,131,239,185,195,180,180,200,170,146,273,205,205,200,195,185,224,219,219,229,170,214,317,249,146,151,151,151,244,166,185,224,229,205,229,205,200,166,317,307,200,209,200,195,156,175,317,244,131,136,131,146,273,175,161,185,126,107,239,175,170,170,166,161,205,214,200,219,161,185,292,214,151,122,112,146,214,200,224,214,200,170,307,351,224,205,219,200,244,219,380,283,126,175,146,180,122,249,214,239,166,107,205,131,195,175,151,117
70,190,97,229,170,141,166,107,126,234,151,205,190,175,200,166,166,307,258,229,180,200,214,175,209,249,180,234,205,200,166,312,214,239,180,190,190,278,224,366,288,146,122,112,146,117,136,244,185,195,185,180,200,170,151,273,200,200,195,195,185,224,219,219,229,170,214,317,253,146,151,151,151,244,161,185,219,224,200,224,205,195,166,317,307,200,205,200,195,151,175,317,239,131,141,136,146,273,175,161,185,126,107,234,175,170,166,166,161,205,214,195,214,161,185,297,214,151,122,112,141,214,200,229,214,200,170,312,351,224,205,219,200,239,219,375,283,122,175,146,175,122,249,214,234,166,107,209,136,190,175,146,117
80,190,92,229,166,141,166,102,126,229,146,200,190,175,200,161,151,302,249,224,180,200,214,175,200,249,175,234,205,200,146,312,200,239,175,185,185,273,200,366,278,141,122,112,146,112,117,239,170,195,180,180,200,170,126,268,190,200,195,195,185,219,219,219,229,170,200,317,244,141,146,146,151,239,166,180,219,224,200,229,205,195,161,312,297,200,205,200,190,151,161,312,234,126,141,131,146,273,175,161,180,122,102,229,170,166,166,166,161,200,214,195,214,161,175,297,205,151,122,107,141,209,195,224,214,195,161,302,336,224,200,219,195,244,214,371,273,122,175,146,170,122,249,209,239,161,102,205,136,190,175,146,102
